"","X1","X","abr","precinct","address","pollname","abrprecincts","longitude","latitude","geocode_rating","clean_address"
"20",20,972,"CIT","200","1490 E Redpoll TRL, Hernando, FL 34442","QUAIL RUN COMMUNITY BUILDING","CIT200",-82.4091,28.9676,"2","1490 Redpoll Trl Hernando FL 34442"
"21",21,973,"CIT","201","2125 E Norvell Bryant HWY, Hernando, FL 34442","HERNANDO UNITED METHODIST CH","CIT201",-82.39879,28.89871,"0","2125 Norvell Bryant Hwy Hernando FL 34442"
"22",22,974,"CIT","202","350 E Norvell Bryant HWY, Hernando, FL 34442","QUALITY INN @ CITRUS HILLS","CIT202",-82.42873,28.89999,"11","350 Norvell Bryant Hwy Citrus Hills FL 34442"
"23",23,975,"CIT","203","425 W Roosevelt Blvd, Beverly Hills, FL 34465","CENTRAL RIDGE LIBRARY","CIT203",-82.44301,28.91049,"0","425 Roosevelt Blvd Beverly Hills FL 34465"
"24",24,976,"CIT","204","2389 W Norvell Bryany HWY, Lecanto, FL 34461","KNIGHTS OF COLUMBUS","CIT204",-82.47578,28.89264,"19","2389 Norvell Bryant Hwy Pine Ridge FL 34461"
"25",25,977,"CIT","205","72 Civic Cir, Beverly Hills, FL 34465","BEVERLY HILLS LIONS CLUB","CIT205",-82.44644,28.91783,"0","72 Civic Cir Beverly Hills FL 34465"
"26",26,978,"CIT","206","6 Roosevelt Blvd, Beverly Hills, FL 34465","OUR LADY OF GRACE CHURCH","CIT206",-82.46301,28.91977,"0","6 Roosevelt Blvd Beverly Hills FL 34465"
"27",27,979,"CIT","208","439 E Norvell Bryant HWY, Hernando, FL 34442","GOOD SHEPHERD LUTHERAN","CIT208",-82.42758,28.90017,"9","439 Norvell Bryant Hwy Pine Ridge FL 34442"
"28",28,980,"CIT","300","1196 S Lecanto HWY, Lecanto, FL 34461","CITRUS COUNTY BUILDERS ASSOC.","CIT300",-82.48791,28.84705,"0","1196 Lecanto Hwy Lecanto FL 34461"
"29",29,981,"CIT","301","8551 W Venable St, Crystal River, FL 34429","NATIONAL GUARD ARMORY","CIT301",-82.54981,28.86268,"0","8551 Venable St Crystal River FL 34429"
"30",30,982,"CIT","302","7890 W Grover Cleveland Bvld, Homosassa, FL 34446","WEST CITRUS ELKS LODGE","CIT302",-82.56456,28.8037,"78","7890 Grover Cleveland Blvd Homosassa Springs FL 34446"
"31",31,983,"CIT","305","7961 W Green Acres St, Homosassa, FL 34448","CHRISTIAN CENTER CHURCH","CIT305",-82.56655,28.78918,"8","7961 Green Acres St Homosassa Springs FL 34448"
"32",32,984,"CIT","307","8831 W Bradshaw St, Homosassa, FL 34448","HOMOSASSA METHODIST CHURCH","CIT307",-82.57953,28.79122,"0","8831 Bradshaw St Homosassa FL 34448"
"33",33,985,"CIT","400","550 Pleasant Grove Rd, Inverness, FL 34452","FIRST BAPTIST CHURCH INVERNESS","CIT400",-82.35284,28.82556,"0","550 Pleasant Grove Rd Inverness FL 34452"
"34",34,986,"CIT","402","2101 N Florida Ave, Hernando, FL 34442","CHURCH OF THE NAZARENE","CIT402",-82.37037,28.89414,"0","2101 Florida Ave Hernando FL 34442"
"35",35,987,"CIT","403","212 W Main St, Inverness, FL 34450","INVERNESS CITY HALL","CIT403",-82.33727,28.83609,"8","600 Main St Inverness FL 34450"
"36",36,988,"CIT","404","9228 E Gospel Island Rd, Inverness, FL 34450","TOO FAR @ POINT O WOODS","CIT404",-82.28109,28.862,"0","9228 Gospel Island Rd Inverness FL 34450"
"37",37,989,"CIT","405","3610 S Florida Ave, Inverness, FL 34452","CITRUS COUNTY AUDITORIUM","CIT405",-82.31352,28.80836,"2","3610 Florida Ave Inverness FL 34450"
"38",38,990,"CIT","406","4325 S Little Al Pt, Inverness, FL 34452","AMERICAN ITALIAN SOCIAL CLUB","CIT406",-82.57057,28.85023,"55","NA Little Leaf Pt Homosassa Springs FL 34448"
"39",39,991,"CIT","407","8478 E Marvin St, Floral City, FL 34436","FLORAL CITY UNITED METHODIST","CIT407",-82.29343,28.75128,"0","8478 Marvin St Floral City FL 34436"
"40",40,992,"CIT","408","8370 E Orange Ave, Floral City, FL 34436","FLORAL CITY LIONS CLUB","CIT408",-82.29512,28.75012,"0","8370 Orange Ave Floral City FL 34436"
"41",41,1122,"DAD","001","18070 Collins Ave, Sunny Isles Beach, FL 33160","Sunny Isles Beach Government Center","DAD001",-80.1213,25.94308,"0","18070 Collins Ave Sunny Isles Beach FL 33160"
"42",42,1123,"DAD","002","17775 N Bay Rd, Sunny Isles Beach, FL 33160","St. Mary Magdalen Catholic Church","DAD002",-80.12591,25.93925,"0","17775 Bay Rd Sunny Isles Beach FL 33160"
"43",43,1124,"DAD","003","250 174 St, Sunny Isles Beach, FL 33160","Winston Towers Assoc - Bldg 100","DAD003",-80.12702,25.93692,"24","250 174th St Sunny Isles Beach FL 33160"
"44",44,1125,"DAD","004","16900 N Bay Rd, Sunny Isles Beach, FL 33160","Intracoastal Yacht Club","DAD004",-80.12646,25.93187,"0","16900 Bay Rd Sunny Isles Beach FL 33160"
"45",45,1126,"DAD","005","500 Bayview Dr, Sunny Isles Beach, FL 33160","Arlen House Condo West","DAD005",-80.12612,25.92268,"0","500 Bayview Dr Sunny Isles Beach FL 33160"
"46",46,1127,"DAD","006","18 Bal Bay Dr, Bal Harbour, FL 33154","Bal Harbour Parks & Recreation Center","DAD006",-80.1272,25.88791,"0","18 Bal Bay Dr Bal Harbour FL 33154"
"47",47,1128,"DAD","007","9665 Bay Harbor Ter, Bay Harbor Islands, FL 33154","Bay Harbor Islands Town Hall","DAD007",-80.13117,25.88707,"0","9665 Bay Harbor Ter Bay Harbor Islands FL 33154"
"48",48,1129,"DAD","008","9665 Bay Harbor Ter, Bay Harbor Islands, FL 33154","Bay Harbor Islands Town Hall","DAD008",-80.13117,25.88707,"0","9665 Bay Harbor Ter Bay Harbor Islands FL 33154"
"49",49,1130,"DAD","009","9293 Harding Ave, Surfside, FL 33154","Town of Surfside","DAD009",-80.12307,25.8815,"0","9293 Harding Ave Surfside FL 33154"
"50",50,1131,"DAD","010","9293 Harding Ave, Surfside, FL 33154","Town of Surfside","DAD010",-80.12307,25.8815,"0","9293 Harding Ave Surfside FL 33154"
"51",51,1132,"DAD","011","800 77 St, Miami Beach, FL 33141","Biscayne Elementary School","DAD011",-80.12722,25.86199,"20","800 77th St Miami Beach FL 33141"
"52",52,1133,"DAD","013","7501 Collins Ave, Miami Beach, FL 33141","North Shore Branch Library","DAD013",-80.12093,25.86074,"0","7501 Collins Ave Miami Beach FL 33141"
"53",53,1134,"DAD","014","800 77 St, Miami Beach, FL 33141","Biscayne Elementary School","DAD014",-80.12722,25.86199,"20","800 77th St Miami Beach FL 33141"
"54",54,1135,"DAD","015","2401 Biarritz Dr, Miami Beach, FL 33141","Normandy Shores Golf Club","DAD015",-80.14345,25.85284,"0","2401 Biarritz Dr Miami Beach FL 33141"
"55",55,1136,"DAD","016","1275 NE 79 St, Miami, FL 33138","Pelican Harbor Marina","DAD016",-80.17337,25.84819,"20","1275 79th St Miami FL 33138"
"56",56,1137,"DAD","017","7540 E Treasure Dr, North Bay Village, FL 33141","Treasure Island Elementary School","DAD017",-80.14635,25.84507,"0","7540 Treasure Dr North Bay Village FL 33141"
"57",57,1138,"DAD","018","6860 Indian Creek Dr, Miami Beach, FL 33141","Indian Creek Fire Station #4","DAD018",-80.12355,25.85364,"0","6860 Indian Creek Dr Miami Beach FL 33141"
"58",58,1139,"DAD","019","7030 Trouville Esplanade, Miami Beach, FL 33141","Normandy Park & Pool","DAD019",-80.13956,25.81696,"100","NA NA NA Miami Beach FL 33141"
"59",59,1140,"DAD","020","6500 Indian Creek Dr, Miami Beach, FL 33141","Ronald W. Shane Center","DAD020",-80.12151,25.8484,"0","6500 Indian Creek Dr Miami Beach FL 33141"
"60",60,1141,"DAD","023","5303 Collins Ave, Miami Beach, FL 33140","Miami Beach Fire Station #3","DAD023",-80.12187,25.83109,"0","5303 Collins Ave Miami Beach FL 33140"
"61",61,1142,"DAD","024","4301 N Michigan Ave, Miami Beach, FL 33140","Nautilus Middle School","DAD024",-80.13551,25.81563,"0","4301 Michigan Ave Miami Beach FL 33140"
"62",62,1143,"DAD","025","4760 Pine Tree Dr, Miami Beach, FL 33140","St. Johns on the Lake Methodist Church","DAD025",-80.12588,25.8228,"0","4760 Pine Tree Dr Miami Beach FL 33140"
"63",63,1144,"DAD","028","4144 Chase Ave, Miami Beach, FL 33140","Temple Beth Sholom","DAD028",-80.13263,25.81019,"6","3526 Chase Ave Miami Beach FL 33140"
"64",64,1145,"DAD","029","4100 Prairie Ave, Miami Beach, FL 33140","North Beach Elementary School","DAD029",-80.13061,25.81385,"0","4100 Prairie Ave Miami Beach FL 33140"
"65",65,1146,"DAD","030","2000 Convention Center Dr, Miami Beach, FL 33139","Miami Beach Botanical Garden","DAD030",-80.13499,25.79274,"6","1798 Convention Center Dr Miami Beach FL 33139"
"66",66,1147,"DAD","031","2200 Liberty Ave, Miami Beach, FL 33139","Miami City Ballet","DAD031",-80.12943,25.79793,"0","2200 Liberty Ave Miami Beach FL 33139"
"67",67,1148,"DAD","032","227 22 St, Miami Beach, FL 33139","Miami Beach Regional Library","DAD032",-80.12854,25.79772,"20","227 22nd St Miami Beach FL 33139"
"68",68,1149,"DAD","033","2231 Prairie Ave, Miami Beach, FL 33139","Miami Beach Senior High School","DAD033",-80.13307,25.80298,"0","2231 Prairie Ave Miami Beach FL 33139"
"69",69,1150,"DAD","036","601 14 Pl, Miami Beach, FL 33139","Fienberg Fisher K-8 Center","DAD036",-80.13418,25.78629,"20","601 14th Pl Miami Beach FL 33139"
"70",70,1151,"DAD","037","1700 Convention Center Dr, Miami Beach, FL 33139","Miami Beach City Hall","DAD037",-80.13497,25.79219,"0","1700 Convention Center Dr Miami Beach FL 33139"
"71",71,1152,"DAD","038","833 6 ST #2, Miami Beach, FL 33139","South Shore Community Center","DAD038",-80.13647,25.77591,"20","833 6th St Miami Beach FL 33139"
"72",72,1153,"DAD","040","1050 4 St, Miami Beach, FL 33139","South Pointe Elementary School","DAD040",-80.13888,25.77346,"20","1050 4th St Miami Beach FL 33139"
"73",73,1154,"DAD","041","833 6 St #2, Miami Beach, FL 33139","South Shore Community Center","DAD041",-80.13647,25.77591,"20","833 6th St Miami Beach FL 33139"
"74",74,1155,"DAD","042","601 14 Pl, Miami Beach, FL 33139","Fienberg Fisher K-8 Center","DAD042",-80.13418,25.78629,"20","601 14th Pl Miami Beach FL 33139"
"75",75,1156,"DAD","043","1100 Washington Ave, Miami Beach, FL 33139","Miami Beach Police Department","DAD043",-80.13265,25.78196,"0","1100 Washington Ave Miami Beach FL 33139"
"76",76,1157,"DAD","047","1050 4 St, Miami Beach, FL 33139","South Pointe Elementary School","DAD047",-80.13888,25.77346,"20","1050 4th St Miami Beach FL 33139"
"77",77,1158,"DAD","048","1050 4 St, Miami Beach, FL 33139","South Pointe Elementary School","DAD048",-80.13888,25.77346,"20","1050 4th St Miami Beach FL 33139"
"78",78,1159,"DAD","051","10 Village Green Way, Key Biscayne, FL 33149","Key Biscayne Community Center","DAD051",-82.73685,28.10209,"20","10 Village Green Way Palm Harbor FL 34684"
"79",79,1160,"DAD","052","10 Village Green Way, Key Biscayne, FL 33149","Key Biscayne Community Center","DAD052",-82.73685,28.10209,"20","10 Village Green Way Palm Harbor FL 34684"
"80",80,1161,"DAD","059","9617 Park Dr, Miami Shores, FL 33138","C. Lawton McCall Community Center","DAD059",-80.18363,25.86412,"0","9617 Park Dr Miami Shores FL 33138"
"81",81,1162,"DAD","062","15250 NW 22 Ave, Miami Gardens, FL 33054","Mount Zion African Methodist Episcopal Church","DAD062",-80.23622,25.91379,"20","15250 22nd Ave Miami Gardens FL 33054"
"82",82,1163,"DAD","067","18070 Collins Ave, Sunny Isles Beach, FL 33160","Sunny Isles Beach Government Center","DAD067",-80.1213,25.94308,"0","18070 Collins Ave Sunny Isles Beach FL 33160"
"83",83,1164,"DAD","068","500 Bayview Dr, Sunny Isles Beach, FL 33160","Arlen House Condo West","DAD068",-80.12612,25.92268,"0","500 Bayview Dr Sunny Isles Beach FL 33160"
"84",84,1165,"DAD","069","840 NE 87 ST, Miami, FL 33138","Phyllis R. Miller Elementary School","DAD069",-80.18153,25.85519,"20","840 87th St Miami FL 33138"
"85",85,1166,"DAD","099","4500 Island Blvd, Aventura, FL 33160","Williams Island Club House","DAD099",-80.13523,25.93944,"6","3998 Island Blvd Aventura FL 33160"
"86",86,1167,"DAD","100","2700 NW 87th Ave, Miami, FL 33172","111 BLDG--UOCAVA--FED ONLY","DAD100",-80.33722,25.7997,"5","2700 87th Ave Doral FL 33172"
"87",87,1168,"DAD","101","20500 NE 24 Ave, Miami, FL 33180","Highland Oaks Elementary School","DAD101",-80.15338,25.95858,"25","NA 24th Ave Ojus FL 33180"
"88",88,1169,"DAD","102","3375 NE 188 St, Aventura, FL 33180","Aventura Community Recreation Center","DAD102",-80.13521,25.94964,"20","3375 188th St Aventura FL 33180"
"89",89,1170,"DAD","103","19200 W Country Club Dr, Aventura, FL 33180","Aventura Government Center","DAD103",-80.1393,25.95657,"0","19200 Country Club Dr Aventura FL 33180"
"90",90,1171,"DAD","104","18600 W Dixie HWY, Miami, FL 33180","Ojus Elementary School","DAD104",-80.1488,25.94749,"5","18600 Dixie Hwy Ojus FL 33180"
"91",91,1172,"DAD","105","2375 NE 203 St, Miami, FL 33180","Highland Oaks Middle School","DAD105",-80.15205,25.96341,"10","2433 203 St Ojus FL 33180"
"92",92,1173,"DAD","106","1536 NE 179 St, North Miami Beach, FL 33162","Greynolds Park Elementary School","DAD106",-80.16989,25.94025,"20","1536 179th St North Miami Beach FL 33162"
"93",93,1174,"DAD","107","1536 NE 179 St, North Miami Beach, FL 33162","Greynolds Park Elementary School","DAD107",-80.16989,25.94025,"20","1536 179th St North Miami Beach FL 33162"
"94",94,1175,"DAD","108","1500 NE 191 St, Miami, FL 33179","New Horizons Condominium Association","DAD108",-80.21394,25.75551,"32","NA 18 St Miami FL 33129"
"95",95,1176,"DAD","109","19200 W Country Club Dr, Aventura, FL 33180","Aventura Government Center","DAD109",-80.1393,25.95657,"0","19200 Country Club Dr Aventura FL 33180"
"96",96,1177,"DAD","110","18600 W Dixie HWY, Miami, FL 33180","Ojus Elementary School","DAD110",-80.1488,25.94749,"5","18600 Dixie Hwy Ojus FL 33180"
"97",97,1178,"DAD","111","2750 NE 183 St, Aventura, FL 33160","Commodore Plaza Tower II","DAD111",-80.14663,25.94506,"20","2750 183rd St Aventura FL 33160"
"98",98,1179,"DAD","112","18051 Biscayne Blvd, Aventura, FL 33160","Plaza Del Prado Condominium","DAD112",-80.14758,25.94489,"0","18051 Biscayne Blvd Aventura FL 33160"
"99",99,1180,"DAD","113","2895 Point East Dr, Aventura, FL 33160","Point East Condominium","DAD113",-80.14356,25.93969,"0","2895 Point East Dr Aventura FL 33160"
"100",100,1181,"DAD","114","2930 Aventura Blvd, Aventura, FL 33180","Northeast Dade Aventura Branch Library","DAD114",-80.14258,25.96105,"0","2930 Aventura Blvd Aventura FL 33180"
"101",101,1182,"DAD","115","17051 NE 19 Ave, North Miami Beach, FL 33162","Marjorie/William McDonald Center","DAD115",-80.16219,25.93285,"20","17051 19th Ave North Miami Beach FL 33162"
"102",102,1183,"DAD","116","386 NE 169 St, North Miami Beach, FL 33162","Uleta Community Center","DAD116",-80.19261,25.93051,"20","386 169th St North Miami Beach FL 33162"
"103",103,1184,"DAD","117","386 NE 169 St, North Miami Beach, FL 33162","Uleta Community Center","DAD117",-80.19261,25.93051,"20","386 169th St North Miami Beach FL 33162"
"104",104,1185,"DAD","118","1075 NE 167 St, North Miami Beach, FL 33162","John F. Kennedy Middle School","DAD118",-80.17872,25.92891,"22","NA 167th St North Miami Beach FL 33162"
"105",105,1186,"DAD","119","17101 NE 7 Ave, Miami, FL 33162","Gertrude K. Edelman/Sabal Palm Elementary School","DAD119",-80.18637,25.93402,"20","17101 7th Ave Miami FL 33162"
"106",106,1187,"DAD","120","1247 NE 167 St, Miami, FL 33162","North Miami Beach Senior High School","DAD120",-80.17527,25.92922,"20","1247 167th St Miami FL 33162"
"107",107,1188,"DAD","121","1900 NE 164 St, North Miami Beach, FL 33162","Fulford United Methodist Church","DAD121",-80.16201,25.92699,"20","1900 164th St North Miami Beach FL 33162"
"108",108,1189,"DAD","122","1770 NE 162 St, North Miami Beach, FL 33162","Allen Park Community Center","DAD122",-80.16453,25.92482,"20","1770 162nd St North Miami Beach FL 33162"
"109",109,1190,"DAD","123","17051 NE 19 Ave, North Miami Beach, FL 33162","Marjorie/William McDonald Center","DAD123",-80.16219,25.93285,"20","17051 19th Ave North Miami Beach FL 33162"
"110",110,1191,"DAD","124","16975 NE 35 Ave, North Miami Beach, FL 33160","Eden Isles Condominium","DAD124",-80.13733,25.9365,"20","16975 35th Ave North Miami Beach FL 33160"
"111",111,1192,"DAD","125","13621 NE 21 Ave, North Miami Beach, FL 33181","Highland Village Community Center","DAD125",-80.17437,25.88792,"34","NA 12 Ave North Miami FL 33161"
"112",112,1193,"DAD","126","1770 NE 162 St, North Miami Beach, FL 33162","Allen Park Community Center","DAD126",-80.16453,25.92482,"20","1770 162nd St North Miami Beach FL 33162"
"113",113,1194,"DAD","127","15290 NE 15 Ct, North Miami Beach, FL 33162","Washington Park Community Center","DAD127",-80.16902,25.91609,"20","15290 15th Ct North Miami Beach FL 33162"
"114",114,1195,"DAD","128","680 NE 159 St, Miami, FL 33162","Oak Grove Park","DAD128",-80.18628,25.92121,"20","680 159th St Golden Glades FL 33162"
"115",115,1196,"DAD","129","16450 NE 4 Ave, Miami, FL 33162","North Miami Beach Church Nazarene","DAD129",-80.19231,25.92657,"20","16450 4th Ave Golden Glades FL 33162"
"116",116,1197,"DAD","130","15395 N Miami Ave, Miami, FL 33169","First Baptist Church of Greater Miami","DAD130",-80.19969,25.91619,"12","15395 Miami Ave Golden Glades FL 33169"
"117",117,1198,"DAD","131","525 NW 147 St, Miami, FL 33168","Thomas Jefferson Middle School","DAD131",-80.20812,25.90955,"20","525 147th St Golden Glades FL 33168"
"118",118,1199,"DAD","133","650 NW 131 St, North Miami, FL 33168","Miami-Dade County Fire Station #19","DAD133",-80.24599,25.89648,"31","NA 134 St Opa-locka FL 33054"
"119",119,1200,"DAD","134","1195 NW 124 St, North Miami, FL 33168","North Miami Church of the Nazarene","DAD134",-80.21882,25.88806,"20","1195 124th St North Miami FL 33168"
"120",120,1201,"DAD","135","12500 NW 13 Ave, North Miami, FL 33167","Sunkist Grove Community Center","DAD135",-80.22165,25.88884,"20","12500 13th Ave North Miami FL 33167"
"121",121,1202,"DAD","136","12600 NW 4 Ave, North Miami, FL 33168","Miami Union Academy","DAD136",-80.20491,25.89035,"20","12600 4th Ave North Miami FL 33168"
"122",122,1203,"DAD","137","12100 W Dixie HWY, North Miami, FL 33161","North Miami Jaycees","DAD137",-80.19065,25.88701,"0","12100 Dixie Hwy North Miami FL 33161"
"123",123,1204,"DAD","138","655 NE 145 St, North Miami, FL 33161","North Miami Elementary School","DAD138",-80.18581,25.90865,"20","655 145th St North Miami FL 33161"
"124",124,1205,"DAD","139","12100 W Dixie HWY, North Miami, FL 33161","North Miami Jaycees","DAD139",-80.19065,25.88701,"0","12100 Dixie Hwy North Miami FL 33161"
"125",125,1206,"DAD","140","14455 Memorial HWY, North Miami, FL 33161","Haitian Evangelical Baptist Church","DAD140",-80.19764,25.90747,"10","14455 Memorial Hwy Golden Glades FL 33161"
"126",126,1207,"DAD","141","835 NE 132 St, North Miami, FL 33161","North Miami Public Library","DAD141",-80.18183,25.89696,"20","835 132nd St North Miami FL 33161"
"127",127,1208,"DAD","142","900 NE 132 St, North Miami, FL 33161","Shalom Community Church","DAD142",-80.18065,25.89683,"20","900 132nd St North Miami FL 33161"
"128",128,1209,"DAD","143","1200 NE 135 St, North Miami, FL 33161","First Church of North Miami","DAD143",-80.17478,25.89984,"20","1200 135th St North Miami FL 33161"
"129",129,1210,"DAD","144","50 NE 119 St, Miami, FL 33161","Stanton Memorial Baptist Church","DAD144",-80.19771,25.88422,"20","50 119th St Miami FL 33161"
"130",130,1211,"DAD","145","1650 NE 141 St, North Miami, FL 33181","Natural Bridge Elementary School","DAD145",-80.21151,25.90517,"37","NA 441 US Hwy North Miami FL 33168"
"131",131,1212,"DAD","146","13050 Ixora Ct, North Miami, FL 33181","Keystone Park Community Center","DAD146",-80.16032,25.89656,"0","13050 Ixora Ct North Miami FL 33181"
"132",132,1213,"DAD","148","13000 NE 16 Ave, North Miami, FL 33161","Miami-Dade County Fire Station #20","DAD148",-80.16667,25.89632,"20","13000 16th Ave North Miami FL 33161"
"133",133,1214,"DAD","149","1590 NE 123 St, North Miami, FL 33161","Senator Gwen Margolis Community Center","DAD149",-80.16695,25.88917,"20","1590 123rd St North Miami FL 33161"
"134",134,1215,"DAD","150","1590 NE 123 St, North Miami, FL 33161","Senator Gwen Margolis Community Center","DAD150",-80.16695,25.88917,"20","1590 123rd St North Miami FL 33161"
"135",135,1216,"DAD","151","11400 NE 9 Ct, Biscayne Park, FL 33161","Ed Burke Recreation Center","DAD151",-80.17913,25.88039,"20","11400 9th Ct Biscayne Park FL 33161"
"136",136,1217,"DAD","152","12800 North Miami Ave, North Miami, FL 33168","North Miami Seventh Day Adventist Church","DAD152",-80.19888,25.89244,"10","12800 Miami Ave Golden Glades FL 33168"
"137",137,1218,"DAD","153","50 NE 119 St, Miami, FL 33161","Stanton Memorial Baptist Church","DAD153",-80.19771,25.88422,"20","50 119th St Miami FL 33161"
"138",138,1219,"DAD","154","255 NW 115 St, Miami, FL 33168","Hubert O. Sibley K-8 Academy","DAD154",-80.20186,25.88055,"20","255 115th St Miami FL 33168"
"139",139,1220,"DAD","155","10351 NE 5 Ave, Miami Shores, FL 33138","Miami Shores Elementary School","DAD155",-80.18752,25.87039,"20","10351 5th Ave Miami Shores FL 33138"
"140",140,1221,"DAD","156","10150 NE 2 Ave, Miami Shores, FL 33138","Miami Shores Christian Church","DAD156",-80.19375,25.869,"20","10150 2nd Ave Miami Shores FL 33138"
"141",141,1222,"DAD","157","9617 Park Dr, Miami Shores, FL 33138","C. Lawton McCall Community Center","DAD157",-80.18363,25.86412,"0","9617 Park Dr Miami Shores FL 33138"
"142",142,1223,"DAD","158","840 NE 87 ST, Miami, FL 33138","Phyllis R. Miller Elementary School","DAD158",-80.18153,25.85519,"20","840 87th St Miami FL 33138"
"143",143,1224,"DAD","159","500 NE 87 St, El Portal, FL 33138","El Portal Village Hall","DAD159",-80.18711,25.85504,"20","500 87th St El Portal FL 33138"
"144",144,1225,"DAD","160","50 NE 119 St, Miami, FL 33161","Stanton Memorial Baptist Church","DAD160",-80.19771,25.88422,"20","50 119th St Miami FL 33161"
"145",145,1226,"DAD","161","8950 NW 2 Ave, El Portal, FL 33150","Horace Mann Middle School","DAD161",-80.20146,25.85774,"20","8950 2nd Ave El Portal FL 33150"
"146",146,1227,"DAD","162","150 NW 79 St, Miami, FL 33150","Edison West Little River Community Resource Center","DAD162",-80.19991,25.84726,"20","150 79th St Miami FL 33150"
"147",147,1228,"DAD","163","50 NE 119 St, Miami, FL 33161","Stanton Memorial Baptist Church","DAD163",-80.19771,25.88422,"20","50 119th St Miami FL 33161"
"148",148,1229,"DAD","164","1201 NE 125 St, North Miami, FL 33161","W.J. Bryan Elementary School","DAD164",-80.17438,25.89086,"20","1201 125th St North Miami FL 33161"
"149",149,1230,"DAD","165","1590 NE 123 St, North Miami, FL 33161","Senator Gwen Margolis Community Center","DAD165",-80.16695,25.88917,"20","1590 123rd St North Miami FL 33161"
"150",150,1231,"DAD","166","386 NE 169 St, North Miami Beach, FL 33162","Uleta Community Center","DAD166",-80.19261,25.93051,"20","386 169th St North Miami Beach FL 33162"
"151",151,1232,"DAD","167","22800 SW 112 Ave, Miami, FL 33170","Goulds Church of Christ","DAD167",-80.37223,25.55657,"28","22800 112th Ave Princeton FL 33170"
